name,price,category,description,image,video,features,file,featured,bestseller,sortorder
Cat Forest Animated Stream Package,24.00,cat,"Dreamy glowing forest cats, soft light, magical woodland atmosphere.",https://i.etsystatic.com/61635066/r/il/316113/7805031188/il_794xN.7805031188_mn58.jpg,,Animated Screens|Alerts|Panels|Emotes,cat-forest.pdf,false,true,0
Dragon Sakura Animated Stream Package,25.39,dragon,Majestic lofi dragon amid cherry blossoms — fantasy at its finest.,https://i.etsystatic.com/61635066/r/il/be4ff6/7769904430/il_794xN.7769904430_keij.jpg,,Animated Screens|Alerts|Panels|Emotes|Sub Badges,dragon-sakura.pdf,true,true,1
